,OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
0,Return_to_owner,Dog,Neutered Male,1 year,Shetland Sheepdog Mix,Brown/White
1,Euthanasia,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Cream Tabby
2,Adoption,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White
3,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Cream
4,Transfer,Dog,Neutered Male,2 years,Lhasa Apso/Miniature Poodle,Tan
5,Transfer,Dog,Intact Female,1 month,Cairn Terrier/Chihuahua Shorthair,Black/Tan
6,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Tabby
7,Transfer,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby
8,Adoption,Dog,Spayed Female,5 months,American Pit Bull Terrier Mix,Red/White
9,Adoption,Dog,Spayed Female,1 year,Cairn Terrier,White
10,Transfer,Cat,Unknown,2 years,Domestic Shorthair Mix,Black
11,Adoption,Dog,Spayed Female,2 years,Miniature Schnauzer Mix,Silver
12,Adoption,Dog,Neutered Male,4 years,Pit Bull Mix,Brown
13,Return_to_owner,Dog,Neutered Male,2 years,Yorkshire Terrier Mix,Black/Red
14,Return_to_owner,Dog,Neutered Male,1 year,Great Pyrenees Mix,White/Cream
15,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White
16,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
17,Transfer,Dog,Intact Female,2 weeks,Pit Bull Mix,Brown/White
18,Transfer,Cat,Intact Female,2 years,Angora Mix,White
19,Return_to_owner,Dog,Neutered Male,1 year,Flat Coat Retriever Mix,Black
20,Transfer,Dog,Intact Male,2 months,Queensland Heeler Mix,Black/White
21,Transfer,Cat,Spayed Female,1 year,Domestic Shorthair Mix,White
22,Adoption,Dog,Spayed Female,2 years,Plott Hound/Boxer,Brown Brindle/White
23,Adoption,Dog,Neutered Male,10 months,German Shepherd Mix,Brown/White
24,Return_to_owner,Dog,Neutered Male,2 months,German Shepherd Mix,Black/Brown
25,Transfer,Cat,Intact Female,1 month,Domestic Shorthair Mix,Orange Tabby
26,Adoption,Dog,Spayed Female,6 months,American Staffordshire Terrier Mix,Chocolate/White
27,Adoption,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,White/Tan
28,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Cream Tabby/White
29,Return_to_owner,Cat,Neutered Male,7 years,Russian Blue Mix,Blue
30,Euthanasia,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico
31,Transfer,Dog,Intact Male,4 months,Labrador Retriever Mix,Black/White
