                            ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
Cat                         ,    0.0431,    0.006,    6.967, 0.000,    0.031,    0.055
AgeRange_0                  ,    0.3184,    0.008,   41.956, 0.000,    0.304,    0.333
AgeRange_1_4                ,    0.0755,    0.007,   11.288, 0.000,    0.062,    0.089
AgeRange_10_14              ,   -0.1017,    0.014,   -7.371, 0.000,   -0.129,   -0.075
AgeRange_15_20              ,   -0.1825,    0.033,   -5.486, 0.000,   -0.248,   -0.117
MixBreed                    ,   -0.0513,    0.006,   -8.109, 0.000,   -0.064,   -0.039
SexuponOutcome_Intact_Male  ,   -0.0534,    0.009,   -6.008, 0.000,   -0.071,   -0.036
SexuponOutcome_Neutered_Male,    0.4296,    0.007,   63.301, 0.000,    0.416,    0.443
SexuponOutcome_Spayed_Female,    0.4804,    0.007,   69.842, 0.000,    0.467,    0.494
SexuponOutcome_Unknown      ,   -0.0850,    0.014,   -6.139, 0.000,   -0.112,   -0.058
ColorCat_Black              ,   -0.0190,    0.009,   -2.148, 0.032,   -0.036,   -0.002
ColorCat_Black_Brown        ,    0.0165,    0.015,    1.082, 0.279,   -0.013,    0.046
ColorCat_Black_Tan          ,   -0.0064,    0.015,   -0.436, 0.662,   -0.035,    0.022
ColorCat_Blue               ,    0.0202,    0.012,    1.742, 0.082,   -0.003,    0.043
ColorCat_Brown_White        ,   -0.0100,    0.012,   -0.869, 0.385,   -0.033,    0.013
ColorCat_Other              ,   -0.0062,    0.006,   -0.988, 0.323,   -0.019,    0.006
ColorCat_Tortie             ,   -0.0275,    0.017,   -1.584, 0.113,   -0.062,    0.007
ColorCat_Tricolor           ,   -0.0038,    0.015,   -0.257, 0.797,   -0.033,    0.026
ColorCat_White              ,   -0.0269,    0.011,   -2.480, 0.013,   -0.048,   -0.006
ColorCat_Yellow             ,   -0.0809,    0.026,   -3.170, 0.002,   -0.131,   -0.031
