                                    ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
Cat                                 ,    0.0450,    0.008,    5.546, 0.000,    0.029,    0.061
AgeRange_0                          ,    0.2274,    0.089,    2.565, 0.010,    0.054,    0.401
AgeRange_1_4                        ,   -0.0105,    0.089,   -0.118, 0.906,   -0.184,    0.163
AgeRange_5_9                        ,   -0.1374,    0.089,   -1.547, 0.122,   -0.312,    0.037
AgeRange_10_14                      ,   -0.1901,    0.089,   -2.126, 0.034,   -0.365,   -0.015
AgeRange_15_20                      ,   -0.2652,    0.094,   -2.808, 0.005,   -0.450,   -0.080
MixBreed                            ,   -0.0156,    0.007,   -2.210, 0.027,   -0.030,   -0.002
SexuponOutcome_Intact_Female        ,   -0.0040,    0.090,   -0.044, 0.965,   -0.180,    0.172
SexuponOutcome_Intact_Male          ,   -0.0133,    0.090,   -0.148, 0.882,   -0.189,    0.163
SexuponOutcome_Neutered_Male        ,    0.4781,    0.090,    5.329, 0.000,    0.302,    0.654
SexuponOutcome_Spayed_Female        ,    0.5280,    0.090,    5.885, 0.000,    0.352,    0.704
SexuponOutcome_Unknown              ,   -0.0496,    0.090,   -0.554, 0.580,   -0.225,    0.126
ColorCat_Agouti                     ,   -0.7848,    0.404,   -1.942, 0.052,   -1.577,    0.007
ColorCat_Agouti_Brown_Tabby         ,    0.2652,    0.404,    0.656, 0.512,   -0.527,    1.057
ColorCat_Apricot                    ,   -0.0182,    0.089,   -0.204, 0.838,   -0.193,    0.157
ColorCat_Apricot_Brown              ,   -0.4135,    0.286,   -1.446, 0.148,   -0.974,    0.147
ColorCat_Apricot_White              ,   -0.1572,    0.234,   -0.673, 0.501,   -0.615,    0.301
ColorCat_Black                      ,    0.0023,    0.016,    0.142, 0.887,   -0.030,    0.034
ColorCat_Black_Brown                ,    0.0445,    0.020,    2.225, 0.026,    0.005,    0.084
ColorCat_Black_Tan                  ,    0.0192,    0.019,    0.986, 0.324,   -0.019,    0.057
ColorCat_Black_White                ,    0.0069,    0.016,    0.442, 0.659,   -0.024,    0.037
ColorCat_Blue                       ,    0.0409,    0.018,    2.235, 0.025,    0.005,    0.077
ColorCat_Blue_White                 ,    0.0097,    0.020,    0.487, 0.626,   -0.029,    0.049
ColorCat_Brown                      ,    0.0088,    0.017,    0.523, 0.601,   -0.024,    0.042
ColorCat_Brown_Brindle              ,    0.0226,    0.030,    0.758, 0.448,   -0.036,    0.081
ColorCat_Brown_Brindle_Black        ,   -0.0091,    0.153,   -0.059, 0.953,   -0.309,    0.291
ColorCat_Brown_Brindle_Blue         ,   -0.1984,    0.404,   -0.491, 0.623,   -0.991,    0.594
ColorCat_Brown_Brindle_Blue_Cream   ,    0.7859,    0.404,    1.945, 0.052,   -0.006,    1.578
ColorCat_Brown_Brindle_Blue_Tick    ,   -0.2141,    0.404,   -0.530, 0.596,   -1.006,    0.578
ColorCat_Brown_Brindle_Brown_Brindle,    0.2945,    0.404,    0.729, 0.466,   -0.498,    1.087
ColorCat_Brown_Brindle_Brown_Merle  ,   -0.4677,    0.404,   -1.157, 0.247,   -1.260,    0.324
ColorCat_Brown_Brindle_Red_Tick     ,   -0.2773,    0.234,   -1.187, 0.235,   -0.735,    0.181
ColorCat_Brown_Brindle_Tan          ,    0.5230,    0.286,    1.830, 0.067,   -0.037,    1.083
ColorCat_Brown_Brindle_White        ,   -0.0214,    0.023,   -0.912, 0.362,   -0.067,    0.025
ColorCat_Brown_Merle                ,    0.1276,    0.071,    1.807, 0.071,   -0.011,    0.266
ColorCat_Brown_Merle_Black          ,    0.2859,    0.286,    1.000, 0.317,   -0.274,    0.846
ColorCat_Brown_Merle_Blue_Merle     ,    0.5480,    0.404,    1.356, 0.175,   -0.244,    1.340
ColorCat_Brown_Merle_Tan            ,    0.0394,    0.404,    0.098, 0.922,   -0.753,    0.831
ColorCat_Brown_Merle_White          ,    0.0977,    0.072,    1.364, 0.172,   -0.043,    0.238
ColorCat_Brown_Tabby_Black          ,   -0.2588,    0.136,   -1.909, 0.056,   -0.524,    0.007
ColorCat_Brown_Tabby_Brown          ,   -0.0055,    0.404,   -0.014, 0.989,   -0.798,    0.787
ColorCat_Brown_Tabby_Gray           ,   -0.0102,    0.286,   -0.036, 0.972,   -0.571,    0.550
ColorCat_Brown_Tabby_Gray_Tabby     ,   -0.0055,    0.404,   -0.014, 0.989,   -0.798,    0.787
ColorCat_Brown_Tabby_Orange         ,    0.3976,    0.286,    1.390, 0.164,   -0.163,    0.958
ColorCat_Brown_Tabby_Tortie         ,    0.2191,    0.286,    0.766, 0.444,   -0.341,    0.780
ColorCat_Brown_Tabby_White          ,    0.0120,    0.020,    0.584, 0.559,   -0.028,    0.052
ColorCat_Brown_Tiger                ,    0.0356,    0.234,    0.152, 0.879,   -0.422,    0.493
ColorCat_Brown_Tiger_White          ,   -0.5019,    0.404,   -1.242, 0.214,   -1.294,    0.290
ColorCat_Brown_Black_Brindle        ,   -0.5019,    0.404,   -1.242, 0.214,   -1.294,    0.290
ColorCat_Brown_Black_Tabby          ,   -0.0149,    0.404,   -0.037, 0.971,   -0.807,    0.777
ColorCat_Brown_Blue                 ,   -0.4520,    0.404,   -1.119, 0.263,   -1.244,    0.340
ColorCat_Brown_Blue_Smoke           ,   -0.5019,    0.404,   -1.242, 0.214,   -1.294,    0.290
ColorCat_Brown_Brown                ,   -0.3548,    0.286,   -1.241, 0.215,   -0.915,    0.206
ColorCat_Brown_Brown_Merle          ,   -0.3906,    0.404,   -0.967, 0.334,   -1.183,    0.401
